schema_version,screenshot_id,capture_date,instrument,market,timeframe,screenshot_path,linked_observation_id,linked_trade_id,source_chart_layout,notes,created_at
1.0,KR-SCR-20260713-001,2026-07-13,Gold Futures,MCX,Multi-Timeframe,assets/validation/observations/KR-SCR-20260713-001-gold-futures.png,KR-OBS-20260713-001,,TradingView Screenshot Review,Higher timeframe bearish; execution timeframe weak.,2026-07-13
1.0,KR-SCR-20260713-002,2026-07-13,Silver Futures,MCX,Multi-Timeframe,assets/validation/observations/KR-SCR-20260713-002-silver-futures.png,KR-OBS-20260713-002,,TradingView Screenshot Review,Bearish structure; momentum fading.,2026-07-13
1.0,KR-SCR-20260713-003,2026-07-13,Copper Futures,MCX,Multi-Timeframe,assets/validation/observations/KR-SCR-20260713-003-copper-futures.png,KR-OBS-20260713-003,,TradingView Screenshot Review,Healthy higher-timeframe structure; execution momentum exhausted; Watch Long; no trade.,2026-07-13
1.0,KR-SCR-20260713-004,2026-07-13,Natural Gas Futures,MCX,Multi-Timeframe,assets/validation/observations/KR-SCR-20260713-004-natural-gas-futures.png,KR-OBS-20260713-004,,TradingView Screenshot Review,Higher-timeframe bearish structure intact; execution extended; late move; await pullback before short setup.,2026-07-13
1.0,KR-SCR-20260713-005,2026-07-13,MARUTI,NSE,1H execution chart reviewed with Weekly/Daily/4H context,assets/validation/observations/KR-SCR-20260713-005-maruti-1h.png,KR-OBS-20260713-005,,TradingView Screenshot Review,MARUTI SELL READY display reviewed as conflicting evidence / UI presentation / research hypothesis. Partial Agreement. Priority High. Confirmed for architectural review.,2026-07-13
1.0,KR-SCR-20260713-006,2026-07-13,Bajaj Auto Limited,NSE,1W / 1D / 4H / 1H,assets/validation/observations/KR-SCR-20260713-001.png,KR-OBS-20260713-006,,TradingView Screenshot Review,Execution chart displayed BUY READY while higher confirmation timeframes were not consolidated bullish. Architectural review record; no trade decision.,2026-07-13
1.0,KR-SCR-20260713-007,2026-07-13,One 97 Communications Ltd. (Paytm),NSE,1W / 1D / 4H / 1H,assets/validation/observations/KR-SCR-20260713-002.png,KR-OBS-20260713-007,,TradingView Screenshot Review,Execution chart displayed BUY READY while higher confirmation timeframes remained WATCH LONG / AVOID. Architectural review record; no implementation changes during market hours.,2026-07-13
1.0,KR-SCR-20260713-008,2026-07-13,HCL Technologies Ltd.,NSE,1W / 1D / 4H / 1H,assets/validation/observations/KR-SCR-20260713-003.png,KR-OBS-20260713-008,,TradingView Screenshot Review,Execution chart displayed BUY READY while Weekly/Daily/4H remained WATCH SHORT with Acceptance Pending. Architectural review record; no implementation changes during market hours.,2026-07-13
1.0,KR-SCR-20260714-001,2026-07-14,Divis Laboratories,NSE,,assets/validation/observations/KR-SCR-20260714-001-divis-laboratories.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative BUY READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
1.0,KR-SCR-20260714-002,2026-07-14,Adani Green Energy,NSE,,assets/validation/observations/KR-SCR-20260714-002-adani-green-energy.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative BUY READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
1.0,KR-SCR-20260714-003,2026-07-14,Apollo Hospitals,NSE,,assets/validation/observations/KR-SCR-20260714-003-apollo-hospitals.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative BUY READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
1.0,KR-SCR-20260714-004,2026-07-14,Lupin,NSE,,assets/validation/observations/KR-SCR-20260714-004-lupin.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative BUY READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
1.0,KR-SCR-20260714-005,2026-07-14,HDFC Life,NSE,,assets/validation/observations/KR-SCR-20260714-005-hdfc-life.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative SELL READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
1.0,KR-SCR-20260714-006,2026-07-14,IOC,NSE,,assets/validation/observations/KR-SCR-20260714-006-ioc.png,KR-OBS-20260714-001,,TradingView Screenshot Review,Representative SELL READY example without observed BUY NOW / SELL NOW during reviewed NSE session.,2026-07-14
